,r2_score,rmse,mae,cv_mean,cv_std
Linear Regression,0.7833463107364536,5799.5870914383595,4186.508898366437,0.73394292442297,0.04870313769693603
Random Forest,0.8642135468974711,4591.369577580835,2535.740861247327,0.8258336586426989,0.04077485289609526
Gradient Boosting,0.8779936181637191,4352.16452055567,2447.167158715136,0.8406367213033711,0.043278518025754796
